iter	RMSE
0	111496.8127
1	107609.4997
2	103901.6366
3	100384.9368
4	97323.11726
5	94565.31029
6	91859.54326
7	89498.0742
8	87486.18328
9	85539.88282
10	83736.2028
11	82054.8344
12	80583.84918
13	79186.97167
14	77897.48415
15	76732.7686
16	75565.94097
17	74455.05313
18	73632.0783
19	72712.2647
20	72028.62514
21	71299.22292
22	70602.05027
23	69947.70128
24	69374.09095
25	68881.38259
26	68194.25684
27	67739.55971
28	67344.47149
29	66920.11127
30	66533.946
31	66152.3119
32	65843.73684
33	65486.67967
34	65136.91354
35	64685.6647
36	64412.02356
37	64117.32262
38	63727.92486
39	63483.49609
40	63233.36651
41	63030.35181
42	62764.59919
43	62497.55568
44	62276.72528
45	62073.03476
46	61885.41344
47	61677.34842
48	61463.28279
49	61247.66937
50	61046.04433
51	60849.84213
52	60617.21713
53	60476.3411
54	60251.08253
55	60087.16251
56	59923.03673
57	59735.55157
58	59548.09729
59	59369.53792
60	59221.47144
61	59087.17001
62	58952.4464
63	58671.01565
64	58520.65881
65	58421.67166
66	58283.92855
67	58202.93585
68	57959.94359
69	57810.99249
70	57614.98204
71	57378.24986
72	57272.93909
73	57149.62194
74	57051.68854
75	56896.69205
76	56663.96201
77	56548.66448
78	56459.48605
79	56364.27899
80	56150.46416
81	56035.74402
82	55950.76674
83	55800.78708
84	55724.19556
85	55662.46985
86	55576.44514
87	55488.69895
88	55410.55093
89	55330.82468
90	55195.28912
91	55064.78989
92	54982.30676
93	54915.51829
94	54783.80937
95	54662.15137
96	54587.52666
97	54528.64447
98	54453.25628
99	54378.93331
100	54305.56724
101	54257.67988
102	54160.49102
103	54096.59705
104	54040.69001
105	53945.75338
106	53855.63741
107	53782.23269
108	53617.58238
109	53509.20413
110	53399.94643
111	53332.30477
112	53281.3314
113	53189.91438
114	53116.12245
115	53074.9282
116	53024.07369
117	52939.42318
118	52903.75094
119	52862.88296
120	52795.49485
121	52736.24948
122	52653.90086
123	52613.79288
124	52564.91305
125	52525.48606
126	52486.02153
127	52391.96725
128	52331.7652
129	52283.86743
130	52239.78886
131	52141.2843
132	52104.97956
133	51994.98735
134	51950.95361
135	51893.16392
136	51843.53701
137	51738.59278
138	51690.52327
139	51639.3452
140	51562.98595
141	51520.22735
142	51474.14113
143	51430.93294
144	51380.48487
145	51316.34775
146	51243.53643
147	51187.0306
148	51132.0046
149	51098.85261
150	51027.20157
151	50943.34456
152	50874.18125
153	50821.54894
154	50763.74148
155	50732.99209
156	50706.45021
157	50672.24334
158	50631.35096
159	50591.01473
160	50534.5383
161	50482.72769
162	50431.14693
163	50387.51413
164	50320.85928
165	50280.48697
166	50220.18587
167	50184.10426
168	50151.70443
169	50116.4424
170	50081.52916
171	50053.00779
172	49992.7275
173	49933.1776
174	49905.11092
175	49871.06318
176	49848.83827
177	49777.43676
178	49733.55439
179	49675.74851
180	49625.93753
181	49567.50371
182	49482.82541
183	49453.88254
184	49398.7638
185	49337.76175
186	49276.33435
187	49238.68113
188	49203.06629
189	49144.39522
190	49114.80584
191	49080.49169
192	49025.08904
193	48998.18929
194	48934.78357
195	48885.80273
196	48824.44279
197	48776.56312
198	48725.75796
199	48674.61174
200	48642.47598
201	48592.6478
202	48538.38827
203	48509.44153
204	48432.38274
205	48407.93789
206	48358.37462
207	48326.39142
208	48298.46431
209	48273.6544
210	48229.35607
211	48183.94945
212	48151.83933
213	48103.08217
214	48083.17892
215	48044.57537
216	48011.57626
217	47992.78967
218	47944.30772
219	47895.67813
220	47862.52883
221	47825.4686
222	47802.71973
223	47760.70785
224	47721.49321
225	47695.12424
226	47665.42874
227	47640.76376
228	47608.85973
229	47581.522
230	47529.34338
231	47483.51702
232	47441.71141
233	47420.99381
234	47382.06861
235	47349.29254
236	47326.33054
237	47295.36059
238	47256.48157
239	47240.25086
240	47210.94775
241	47166.10557
242	47142.17742
243	47102.99049
244	47074.81952
245	47050.05176
246	47017.55766
247	46985.20927
248	46950.83935
249	46912.44321
250	46888.89942
251	46855.43757
252	46831.55673
253	46796.84698
254	46772.17322
255	46750.58162
256	46698.6784
257	46676.66564
258	46641.55143
259	46618.57829
260	46593.52051
261	46542.46712
262	46516.22997
263	46487.3897
264	46468.18747
265	46444.43668
266	46413.59189
267	46381.92743
268	46334.687
269	46300.42389
270	46262.31517
271	46235.0707
272	46212.26165
273	46186.16662
274	46164.8009
275	46135.9499
276	46112.00081
277	46093.12486
278	46053.42983
279	46023.77944
280	45990.07675
281	45965.75759
282	45940.94109
283	45916.28233
284	45890.27715
285	45862.65624
286	45841.0494
287	45820.21312
288	45796.18375
289	45765.07579
290	45732.41766
291	45692.75889
292	45664.28415
293	45628.33379
294	45613.61796
295	45588.12137
296	45558.49788
297	45536.48764
298	45505.88077
299	45481.83041
300	45458.62426
301	45434.28333
302	45415.7229
303	45374.92944
304	45348.98446
305	45328.02102
306	45306.76779
307	45285.89759
308	45268.04359
309	45246.78473
310	45218.73532
311	45197.62525
312	45159.48661
313	45120.66701
314	45100.419
315	45075.9393
316	45058.7463
317	45033.16156
318	45014.23882
319	44981.29596
320	44960.9601
321	44945.03351
322	44920.12324
323	44899.38076
324	44872.96936
325	44854.91763
326	44838.94112
327	44819.27817
328	44802.81522
329	44783.10097
330	44764.44674
331	44743.32874
332	44718.5474
333	44702.54203
334	44676.97355
335	44658.3039
336	44638.02769
337	44617.87684
338	44600.53996
339	44586.14182
340	44558.32359
341	44536.66841
342	44503.55955
343	44484.06504
344	44453.96077
345	44423.12706
346	44402.58608
347	44373.0602
348	44354.21212
349	44329.88532
350	44312.1829
351	44294.12475
352	44278.64817
353	44256.00292
354	44234.80058
355	44212.68622
356	44189.79628
357	44149.2757
358	44126.64861
359	44114.14384
360	44092.42427
361	44070.06055
362	44039.96303
363	44022.19708
364	43988.4012
365	43970.31109
366	43939.71667
367	43922.73208
368	43907.75711
369	43876.24559
370	43862.08948
371	43845.66232
372	43822.48773
373	43802.6119
374	43786.71399
375	43771.87323
376	43757.33552
377	43746.89631
378	43722.87916
379	43704.00598
380	43686.73864
381	43667.96569
382	43640.40983
383	43616.49068
384	43600.75547
385	43585.01338
386	43566.02736
387	43550.79727
388	43531.82471
389	43509.79976
390	43490.85504
391	43477.3256
392	43456.49415
393	43441.43556
394	43424.27184
395	43396.25321
396	43382.37546
397	43372.4523
398	43357.90885
399	43340.40791
400	43327.02529
401	43310.83602
402	43294.82251
403	43272.53793
404	43259.62216
405	43244.13814
406	43229.35121
407	43221.04479
408	43196.82576
409	43175.35042
410	43163.58432
411	43146.73489
412	43124.39621
413	43104.6787
414	43087.04591
415	43060.92042
416	43042.22357
417	43022.10117
418	43009.60635
419	42998.55922
420	42982.12865
421	42963.67237
422	42946.6934
423	42927.34349
424	42907.73634
425	42887.56268
426	42866.05845
427	42840.18432
428	42801.0132
429	42784.38933
430	42760.90539
431	42749.92813
432	42731.96341
433	42716.21172
434	42701.30196
435	42676.6861
436	42648.58675
437	42629.342
438	42613.47688
439	42589.98619
440	42574.8011
441	42557.93325
442	42534.97614
443	42523.19753
444	42512.12132
445	42488.65954
446	42457.76265
447	42437.97991
448	42414.11735
449	42376.02661
450	42367.59407
451	42354.22088
452	42342.49026
453	42324.02378
454	42308.41504
455	42292.90074
456	42266.84895
457	42249.15498
458	42220.94863
459	42207.55969
460	42185.35432
461	42167.77231
462	42156.1036
463	42145.8405
464	42134.79614
465	42122.04939
466	42107.90396
467	42099.53051
468	42074.15605
469	42059.38431
470	42045.25655
471	42034.86639
472	42021.90913
473	42002.90613
474	41983.55442
475	41971.72001
476	41959.9495
477	41948.62683
478	41936.23161
479	41918.90622
480	41896.99626
481	41879.16044
482	41864.08083
483	41842.9274
484	41830.39097
485	41810.29914
486	41798.62863
487	41784.89679
488	41772.0211
489	41754.28457
490	41744.53395
491	41730.2005
492	41720.90446
493	41701.26778
494	41689.16152
495	41672.81093
496	41662.1059
497	41641.51989
498	41621.99893
499	41603.58841
500	41591.05506
501	41586.75384
502	41565.6824
503	41555.82446
504	41542.62024
505	41528.51808
506	41508.06157
507	41497.74523
508	41481.09246
509	41467.40279
510	41452.54015
511	41439.65167
512	41427.68063
513	41408.80302
514	41403.28975
515	41385.80491
516	41367.84966
517	41349.12869
518	41336.02892
519	41315.69668
520	41297.60709
521	41288.85918
522	41268.74711
523	41249.10164
524	41232.29734
525	41223.33514
526	41198.87895
527	41190.91817
528	41182.72584
529	41172.9614
530	41162.32878
531	41150.29424
532	41135.46285
533	41121.23589
534	41108.33756
535	41097.84815
536	41089.35108
537	41070.79829
538	41053.93816
539	41038.57619
540	41022.72686
541	41007.82019
542	40994.01233
543	40977.97141
544	40959.68779
545	40951.06184
546	40934.88037
547	40914.46794
548	40892.91069
549	40870.37662
550	40856.05426
551	40842.86653
552	40830.484
553	40810.97498
554	40797.623
555	40786.43155
556	40774.62577
557	40757.25984
558	40743.14881
559	40730.5948
560	40720.17727
561	40710.03583
562	40696.7772
563	40683.05026
564	40667.00413
565	40652.13911
566	40637.86564
567	40624.60714
568	40604.04204
569	40591.90445
570	40581.41981
571	40577.74536
572	40562.36053
573	40553.37512
574	40541.57479
575	40525.75994
576	40511.48711
577	40493.5436
578	40471.73176
579	40455.05689
580	40440.78687
581	40425.59406
582	40416.03443
583	40402.55308
584	40389.80135
585	40369.37429
586	40354.47963
