iter	Passed	Remaining
0	7	7178
1	10	5462
2	15	5106
3	19	4748
4	22	4517
5	26	4350
6	31	4405
7	34	4330
8	38	4284
9	42	4207
10	47	4270
11	51	4233
12	55	4192
13	58	4150
14	63	4152
15	67	4139
16	71	4113
17	75	4095
18	79	4101
19	83	4083
20	86	4046
21	90	4028
22	95	4061
23	99	4051
24	103	4019
25	106	4005
26	111	4002
27	117	4070
28	121	4070
29	126	4096
30	130	4085
31	134	4082
32	138	4064
33	143	4068
34	147	4064
35	151	4064
36	156	4084
37	164	4153
38	172	4238
39	179	4314
40	188	4400
41	198	4527
42	207	4612
43	216	4706
44	224	4754
45	232	4820
46	240	4870
47	247	4910
48	264	5142
49	274	5212
50	280	5223
51	289	5269
52	297	5317
53	307	5378
54	318	5472
55	329	5557
56	340	5639
57	347	5645
58	357	5698
59	368	5771
60	379	5849
61	390	5902
62	396	5904
63	406	5940
64	413	5943
65	420	5955
66	425	5927
67	430	5904
68	437	5897
69	442	5881
70	448	5872
71	455	5873
72	460	5851
73	467	5847
74	472	5826
75	479	5827
76	484	5812
77	489	5790
78	494	5761
79	499	5739
80	503	5708
81	507	5680
82	512	5658
83	516	5635
84	521	5613
85	527	5609
86	533	5600
87	539	5589
88	546	5589
89	550	5569
90	555	5553
91	560	5534
92	565	5514
93	571	5509
94	577	5499
95	581	5479
96	586	5460
97	591	5444
98	596	5428
99	601	5412
100	605	5391
101	611	5379
102	614	5354
103	619	5336
104	623	5318
105	628	5298
106	632	5279
107	636	5260
108	641	5240
109	645	5221
110	649	5200
111	653	5180
112	657	5164
113	661	5144
114	666	5125
115	671	5115
116	675	5097
117	679	5078
118	683	5061
119	689	5053
120	693	5035
121	696	5015
122	701	5001
123	707	5001
124	713	4992
125	718	4982
126	724	4981
127	730	4973
128	735	4963
129	741	4964
130	747	4959
131	753	4955
132	758	4947
133	762	4931
134	768	4920
135	773	4910
136	785	4946
137	791	4944
138	801	4967
139	806	4957
140	811	4942
141	818	4947
142	825	4949
143	836	4972
144	843	4971
145	848	4965
146	854	4960
147	859	4949
148	865	4942
149	870	4933
150	876	4927
151	882	4922
152	886	4907
153	891	4897
154	896	4884
155	901	4879
156	906	4866
157	910	4854
158	917	4850
159	922	4843
160	926	4829
161	932	4825
162	938	4818
163	942	4804
164	948	4798
165	952	4784
166	956	4770
167	961	4759
168	966	4753
169	970	4738
170	975	4727
171	980	4718
172	986	4716
173	992	4710
174	997	4701
175	1002	4693
176	1006	4681
177	1011	4671
178	1016	4662
179	1021	4652
180	1025	4639
181	1031	4635
182	1035	4621
183	1039	4608
184	1044	4603
185	1050	4598
186	1055	4587
187	1059	4574
188	1063	4565
189	1067	4551
190	1070	4536
191	1074	4522
192	1079	4515
193	1083	4501
194	1087	4487
195	1091	4475
196	1096	4469
197	1100	4456
198	1103	4443
199	1108	4433
200	1112	4424
201	1116	4412
202	1120	4399
203	1125	4392
204	1130	4382
205	1133	4369
206	1137	4357
207	1142	4350
208	1146	4338
209	1150	4326
210	1153	4314
211	1159	4308
212	1163	4297
213	1167	4286
214	1170	4274
215	1175	4267
216	1179	4256
217	1183	4244
218	1187	4233
219	1191	4226
220	1195	4214
221	1199	4202
222	1202	4191
223	1207	4184
224	1211	4174
225	1215	4163
226	1219	4153
227	1224	4145
228	1228	4134
229	1231	4124
230	1236	4115
231	1240	4108
232	1244	4097
233	1248	4086
234	1252	4076
235	1257	4069
236	1260	4058
237	1264	4048
238	1269	4040
239	1273	4032
240	1276	4021
241	1280	4010
242	1285	4003
243	1290	3997
244	1293	3986
245	1297	3975
246	1302	3969
247	1306	3961
248	1310	3951
249	1313	3940
250	1318	3935
251	1322	3925
252	1326	3915
253	1329	3905
254	1334	3899
255	1338	3890
256	1342	3880
257	1345	3871
258	1351	3866
259	1355	3857
260	1358	3847
261	1362	3838
262	1367	3832
263	1371	3823
264	1375	3814
265	1378	3804
266	1383	3799
267	1387	3790
268	1391	3781
269	1395	3773
270	1400	3766
271	1404	3758
272	1407	3748
273	1411	3741
274	1416	3734
275	1420	3726
276	1423	3716
277	1427	3708
278	1432	3702
279	1436	3693
280	1440	3684
281	1444	3677
282	1448	3670
283	1452	3661
284	1455	3652
285	1460	3646
286	1465	3639
287	1469	3631
288	1473	3624
289	1478	3620
290	1482	3612
291	1486	3604
292	1490	3595
293	1495	3590
294	1498	3582
295	1502	3573
296	1506	3565
297	1510	3558
298	1514	3549
299	1517	3541
300	1521	3532
301	1525	3525
302	1528	3516
303	1532	3508
304	1535	3499
305	1539	3492
306	1543	3483
307	1546	3475
308	1550	3467
309	1554	3458
310	1557	3450
311	1561	3442
312	1565	3435
313	1569	3428
314	1573	3421
315	1576	3413
316	1580	3405
317	1584	3397
318	1587	3389
319	1591	3381
320	1595	3374
321	1598	3366
322	1602	3359
323	1606	3351
324	1610	3344
325	1613	3336
326	1617	3328
327	1621	3321
328	1624	3313
329	1628	3305
330	1631	3297
331	1635	3290
332	1639	3283
333	1642	3276
334	1646	3268
335	1650	3260
336	1653	3253
337	1657	3246
338	1661	3239
339	1665	3232
340	1669	3226
341	1673	3219
342	1676	3212
343	1680	3205
344	1684	3197
345	1688	3190
346	1691	3183
347	1695	3175
348	1698	3168
349	1702	3161
350	1705	3153
351	1709	3147
352	1713	3139
353	1716	3132
354	1720	3126
355	1724	3119
